date,global,AI 服务名,AI 任务,是否为pivot,公司名,中国/全球,规模,主营业务,todo: 筛选较大的公司,,,,,,,,,,
9/13/2022,Paychex Voice Assist,,,,Paychex,,,,,,,,,,,,,,
10/11/2022,Skyword AI,,,,Skyword,,,,,,,,,,,,,,
11/4/2022,Replit GhostWrtier,,,,Replit,,,,,,,,,,,,,,
11/17/2022,Notion AI,,,,Notion,,,,,,,,,,,,,,
11/22/2022,microsoft designer,,,,Microsoft,,,,,,,,,,,,,,
11/27/2022,craft AI,,,,Craft,,,,,,,,,,,,,,
12/9/2022,Memrise MemBot,,,,Memrise,,,,,,,,,,,,,,
1/26/2023,asana Adam AI,,,,Asana,,,,,,,,,,,,,,
1/26/2023,Shutterstock Image Generation,,,,Shutterstock,,,,,,,,,,,,,,
1/31/2023,intercom Fin,,,,Intercom,,,,,,,,,,,,,,
2/1/2023,Empathy AI obituary,,,,Empathy,,,,,,,,,,,,,,
2/2/2023,Summari,,,,Summari,,,,,,,,,,,,,,
2/3/2023,Quora Poe,,,,Quora,,,,,,,,,,,,,,
2/7/2023,Glowforge Magic Canvas,,,,Glowforge,,,,,,,,,,,,,,
2/9/2023,Microsoft Bing,,,,Microsoft,,,,,,,,,,,,,,
2/9/2023,Speak AI,,,,Speak,,,,,,,,,,,,,,
2/10/2023,OkCupid ChatGPT Match Questions,,,,OkCupid,,,,,,,,,,,,,,
2/14/2023,Buzzfeed Infinity Quizzes,,,,Buzzfeed,,,,,,,,,,,,,,
2/15/2023,Yext Yext Chat,,,,Yext,,,,,,,,,,,,,,
2/15/2023,Logz Observability data,,,,Logz,,,,,,,,,,,,,,
2/20/2023,Sony Grand Turismo Sophy,,,,Sony,,,,,,,,,,,,,,
2/22/2023,Raycast AI,,,,Raycast,,,,,,,,,,,,,,
2/22/2023,Spotify DJ,,,,Spotify,,,,,,,,,,,,,,
2/23/2023,Samsum Bixby Custom Voice Creator,,,,Samsung,,,,,,,,,,,,,,
2/27/2023,snapchat My AI,,,,Snapchat,,,,,,,,,,,,,,
3/1/2023,Quizlet Q-chat,,,,Quizlet,,,,,,,,,,,,,,
3/3/2023,Brave Search Summarization,,,,Brave,,,,,,,,,,,,,,
3/7/2023,salesforce Einstein GT,,,,Salesforce,,,,,,,,,,,,,,
3/8/2023,DuckDuckGo AI search,,,,DuckDuckGo,,,,,,,,,,,,,,
3/9/2023,Discord AI,,,,Discord,,,,,,,,,,,,,,
